,,Field,Day,Time,Level,Home,Away
Reg Season,Week 2,VolunteerPark1,Sat 8/20,10am,NFC 5-7,Buccaneers,Panthers
,,VolunteerPark2,Sat 8/20,10am,NFC 5-7,Falcons,Cardinals
,,VolunteerPark3,Sat 8/20,10am,NFC 5-7,Bears,Lions
,,VolunteerPark1,Sat 8/20,11am,NFC 5-7,Eagles,Saints
,,VolunteerPark2,Sat 8/20,11am,AFC 8-10,Chargers,Jets
,,VolunteerPark3,Sat 8/20,11am,AFC 8-10,Chiefs,Broncos
,,VolunteerPark1,Sat 8/20,12pm,AFC 8-10,Dolphins,Steelers
,,VolunteerPark2,Sat 8/20,12pm,AFC 8-10,Jaguars,Ravens
,,VolunteerPark3,Sat 8/20,12pm,AFC 8-10,Patriots,Raiders
,,VolunteerPark1,Sat 8/20,1pm,AFL 11-14,Outlaws,Rush
,,VolunteerPark2,Sat 8/20,1pm,AFC 8-10,Colts,Titans
,,VolunteerPark3,Sat 8/20,1pm,AFL 11-14,Blaze,Power
,,VolunteerPark1,Sat 8/20,2pm,AFL 11-14,Storm,Vipers
,,VolunteerPark2,Sat 8/20,2pm,AFL 11-14,Avengers,Thunder
,,VolunteerPark3,Sat 8/20,2pm,AFL 11-14,Rattlers,Sharks
,,Rec Center,Mon 8/22,6pm,NFC 5-7,Lions,Eagles
,,Rec Center,Mon 8/22,7pm,AFC 8-10,Broncos,Jets
,,Rec Center,Mon 8/22,8pm,AFL 11-14,Storm,Thunder
,,Rec Center,Tue 8/23,6pm,NFC 5-7,Falcons,Panthers
,,Rec Center,Tue 8/23,7pm,AFC 8-10,Raiders,Steelers
,,Rec Center,Tue 8/23,8pm,AFL 11-14,Blaze,Avengers
Reg Season,Week 3,Century Park1,Sat 8/27,10am,NFC 5-7,Cardinals,Buccaneers
,,Century Park2,Sat 8/27,10am,NFC 5-7,Panthers,Saints
,,Rec Center,Sat 8/27,10am,NFC 5-7,Bears,Eagles
,,Century Park1,Sat 8/27,11am,NFC 5-7,Lions,Falcons
,,Century Park2,Sat 8/27,11am,AFC 8-10,Broncos,Chargers
,,Rec Center,Sat 8/27,11am,AFC 8-10,Jets,Jaguars
,,Century Park1,Sat 8/27,12pm,AFC 8-10,Steelers,Chiefs
,,Century Park2,Sat 8/27,12pm,AFC 8-10,Titans,Dolphins
,,Rec Center,Sat 8/27,12pm,AFC 8-10,Raiders,Colts
,,Century Park1,Sat 8/27,1pm,AFC 8-10,Ravens,Patriots
,,Century Park2,Sat 8/27,1pm,AFL 11-14,Sharks,Rush
,,Rec Center,Sat 8/27,1pm,AFL 11-14,Power,Avengers
,,Century Park1,Sat 8/27,2pm,AFL 11-14,Outlaws,Thunder
,,Century Park2,Sat 8/27,2pm,AFL 11-14,Vipers,Blaze
,,Rec Center,Sat 8/27,2pm,AFL 11-14,Storm,Rattlers
Reg Season,Week 4,Century Park1,Sun 8/28,1pm,NFC 5-7,Eagles,Buccaneers
,,Century Park2,Sun 8/28,1pm,NFC 5-7,Cardinals,Panthers
,,Rec Center,Sun 8/28,1pm,NFC 5-7,Saints,Bears
,,Century Park1,Sun 8/28,2pm,NFC 5-7,Falcons,Lions
,,Century Park2,Sun 8/28,2pm,AFC 8-10,Patriots,Jets
,,Rec Center,Sun 8/28,2pm,AFC 8-10,Colts,Ravens
,,Century Park1,Sun 8/28,3pm,AFC 8-10,Dolphins,Raiders
,,Century Park2,Sun 8/28,3pm,AFC 8-10,Chargers,Steelers
,,Rec Center,Sun 8/28,3pm,AFC 8-10,Jaguars,Broncos
,,Century Park1,Sun 8/28,4pm,AFC 8-10,Chiefs,Titans
,,Century Park2,Sun 8/28,4pm,AFL 11-14,Rush,Avengers
,,Rec Center,Sun 8/28,4pm,AFL 11-14,Blaze,Outlaws
,,Century Park1,Sun 8/28,5pm,AFL 11-14,Rattlers,Thunder
,,Century Park2,Sun 8/28,5pm,AFL 11-14,Sharks,Vipers
,,Rec Center,Sun 8/28,5pm,AFL 11-14,Power,Storm
,,Rec Center,Mon 8/29,6pm,NFC 5-7,Saints,Buccaneers
,,Rec Center,Mon 8/29,7pm,AFL 11-14,Sharks,Outlaws
Reg Season,Week 5,Century Park1,Sat 9/3,10am,NFC 5-7,Saints,Cardinals
,,Century Park2,Sat 9/3,10am,NFC 5-7,Bears,Buccaneers
,,Rec Center,Sat 9/3,10am,NFC 5-7,Panthers,Lions
,,Century Park1,Sat 9/3,11am,NFC 5-7,Eagles,Falcons
,,Century Park2,Sat 9/3,11am,AFC 8-10,Ravens,Dolphins
,,Rec Center,Sat 9/3,11am,AFC 8-10,Raiders,Chiefs
,,Century Park1,Sat 9/3,12pm,AFC 8-10,Jets,Colts
,,Century Park2,Sat 9/3,12pm,AFC 8-10,Titans,Chargers
,,Rec Center,Sat 9/3,12pm,AFC 8-10,Steelers,Jaguars
,,Century Park1,Sat 9/3,1pm,AFC 8-10,Broncos,Patriots
,,Century Park2,Sat 9/3,1pm,AFL 11-14,Power,Thunder
,,Rec Center,Sat 9/3,1pm,AFL 11-14,Rattlers,Vipers
,,Century Park1,Sat 9/3,2pm,AFL 11-14,Outlaws,Avengers
,,Century Park2,Sat 9/3,2pm,AFL 11-14,Blaze,Rush
,,Rec Center,Sat 9/3,2pm,AFL 11-14,Sharks,Storm
,,Rec Center,Tue 9/6,6pm,NFC 5-7,Cardinals,Bears
,,Rec Center,Tue 9/6,7pm,AFC 8-10,Colts,Chargers
Reg Season,Week 6,Century Park1,Sat 9/10,10am,NFC 5-7,Eagles,Bears
,,Century Park2,Sat 9/10,10am,NFC 5-7,Saints,Falcons
,,Century Park1,Sat 9/10,11am,NFC 5-7,Cardinals,Lions
,,Century Park2,Sat 9/10,11am,NFC 5-7,Panthers,Buccaneers
,,Century Park1,Sat 9/10,12pm,AFC 8-10,Dolphins,Chiefs
,,Century Park2,Sat 9/10,12pm,AFC 8-10,Chargers,Jaguars
,,Century Park1,Sat 9/10,1pm,AFC 8-10,Jets,Ravens
,,Century Park2,Sat 9/10,1pm,AFC 8-10,Raiders,Titans
,,Century Park1,Sat 9/10,2pm,AFC 8-10,Steelers,Broncos
,,Century Park2,Sat 9/10,2pm,AFC 8-10,Patriots,Colts
,,Century Park1,Sat 9/10,3pm,AFL 11-14,Rattlers,Blaze
,,Century Park2,Sat 9/10,3pm,AFL 11-14,Thunder,Vipers
,,Century Park1,Sat 9/10,4pm,AFL 11-14,Avengers,Sharks
,,Century Park2,Sat 9/10,4pm,AFL 11-14,Rush,Storm
,,Century Park1,Sat 9/10,5pm,AFL 11-14,Outlaws,Power
,,Rec Center,Mon 9/12,6pm,AFC 8-10,Titans,Ravens
,,Rec Center,Mon 9/12,7pm,AFC 8-10,Dolphins,Patriots
,,Rec Center,Mon 9/12,8pm,AFL 11-14,Power,Rattlers
Reg Season,Week 7,Century Park1,Sat 9/17,10am,NFC 5-7,Panthers,Eagles
,,Century Park2,Sat 9/17,10am,NFC 5-7,Cardinals,Saints
,,Rec Center,Sat 9/17,10am,NFC 5-7,Falcons,Bears
,,Century Park1,Sat 9/17,11am,NFC 5-7,Buccaneers,Lions
,,Century Park2,Sat 9/17,11am,AFC 8-10,Chiefs,Chargers
,,Rec Center,Sat 9/17,11am,AFC 8-10,Raiders,Jets
,,Century Park1,Sat 9/17,12pm,AFC 8-10,Ravens,Broncos
,,Century Park2,Sat 9/17,12pm,AFC 8-10,Titans,Steelers
,,Rec Center,Sat 9/17,12pm,AFC 8-10,Colts,Dolphins
,,Century Park1,Sat 9/17,1pm,AFC 8-10,Jaguars,Patriots
,,Century Park2,Sat 9/17,1pm,AFL 11-14,Rush,Rattlers
,,Rec Center,Sat 9/17,1pm,AFL 11-14,Vipers,Avengers
,,Century Park1,Sat 9/17,2pm,AFL 11-14,Power,Sharks
,,Century Park2,Sat 9/17,2pm,AFL 11-14,Thunder,Blaze
,,Rec Center,Sat 9/17,2pm,AFL 11-14,Storm,Outlaws
Reg Season,Week 8,Century Park1,Sun 9/18,1pm,NFC 5-7,Bears,Panthers
,,Century Park2,Sun 9/18,1pm,NFC 5-7,Buccaneers,Falcons
,,Rec Center,Sun 9/18,1pm,NFC 5-7,Eagles,Cardinals
,,Century Park1,Sun 9/18,2pm,NFC 5-7,Saints,Lions
,,Century Park2,Sun 9/18,2pm,AFC 8-10,Broncos,Raiders
,,Rec Center,Sun 9/18,2pm,AFC 8-10,Chiefs,Colts
,,Century Park1,Sun 9/18,3pm,AFC 8-10,Jets,Titans
,,Century Park2,Sun 9/18,3pm,AFC 8-10,Steelers,Ravens
,,Rec Center,Sun 9/18,3pm,AFL 11-14,Sharks,Blaze
,,Century Park1,Sun 9/18,4pm,AFC 8-10,Patriots,Chargers
,,Century Park2,Sun 9/18,4pm,AFC 8-10,Dolphins,Jaguars
,,Rec Center,Sun 9/18,4pm,AFL 11-14,Vipers,Power
,,Century Park1,Sun 9/18,5pm,AFL 11-14,Rattlers,Outlaws
,,Century Park2,Sun 9/18,5pm,AFL 11-14,Avengers,Storm
,,Rec Center,Sun 9/18,5pm,AFL 11-14,Thunder,Rush
,,Rec Center,Mon 9/19,6pm,AFC 8-10,Chiefs,Jaguars
,,Rec Center,Mon 9/19,7pm,AFL 11-14,Vipers,Rush
Reg Season,Week 9,Century Park1,Sat 9/24,10am,NFC 5-7,Bears,Cardinals
,,Century Park2,Sat 9/24,10am,NFC 5-7,Buccaneers,Saints
,,Century Park1,Sat 9/24,11am,NFC 5-7,Panthers,Falcons
,,Century Park2,Sat 9/24,11am,NFC 5-7,Lions,Eagles
,,Century Park1,Sat 9/24,12pm,AFC 8-10,Chargers,Dolphins
,,Century Park2,Sat 9/24,12pm,AFC 8-10,Steelers,Jets
,,Century Park1,Sat 9/24,1pm,AFC 8-10,Ravens,Raiders
,,Century Park2,Sat 9/24,1pm,AFC 8-10,Titans,Broncos
,,Century Park1,Sat 9/24,2pm,AFC 8-10,Patriots,Chiefs
,,Century Park2,Sat 9/24,2pm,AFC 8-10,Jaguars,Colts
,,Century Park1,Sat 9/24,3pm,AFL 11-14,Rush,Power
,,Century Park2,Sat 9/24,3pm,AFL 11-14,Avengers,Rattlers
,,Century Park1,Sat 9/24,4pm,AFL 11-14,Storm,Blaze
,,Century Park2,Sat 9/24,4pm,AFL 11-14,Thunder,Sharks
,,Century Park1,Sat 9/24,5pm,AFL 11-14,Outlaws,Vipers
